sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
外科门诊	12	1611792	棉球/Z2025	10	4.0	4.0	warning	敷料包(纸塑袋)+棉球——未识别规格
手术室	60	1611839	探针1瘘管1刨刀1/Z1026	1	16.5	13.5	warning	高温纸塑袋10cm计费
手术室	67	1612616	探针1瘘管1刨刀1/Z1026	2	16.5	13.5	warning	高温纸塑袋10cm计费
手术室	75	1613063	探针1瘘管1刨刀1/Z1026	1	16.5	13.5	warning	高温纸塑袋10cm计费
手术室	87	1613386	探针1瘘管1刨刀1/Z1026	1	16.5	13.5	warning	高温纸塑袋10cm计费
手术室	95	1614013	探针1瘘管1刨刀1/Z1026	1	16.5	13.5	warning	高温纸塑袋10cm计费
手术室	111	1614841	探针1瘘管1刨刀1/Z1026	2	16.5	13.5	warning	高温纸塑袋10cm计费
皮肤门诊（二）	10	1608968	美容科排针包50件盘1/W6050	3	280.5	33.0	warning	校正价33.0
皮肤门诊（二）	11	1608968	排针包48件盘1/W6050	1	269.5	33.0	warning	校正价33.0
皮肤门诊（二）	12	1608968	排针包51件盘1/W6050	1	286.0	38.5	warning	校正价38.5
皮肤门诊（二）	14	1614842	器械包-4件/Z1026	1	24.5	22.0	warning	校正价22.0
皮肤门诊（二）	15	1614842	美容科排针包50件盘1/W6050	4	280.5	33.0	warning	校正价33.0
肾一科	9	1614053	拆线包	2	22.0	44.0	warning	高温无纺布计费
肾一科	11	1614053	棉球/Z1526	2	2.5	2.5	warning	敷料包(纸塑袋)+棉球——未识别规格
门诊肛肠一科	24	1609285	纱布条/W9050	1	16.5	30.0	warning	校正价30.0
门诊肛肠一科	64	1615102	纱布条/W9050	4	16.5	30.0	warning	校正价30.0
